date,weather type,air quality,wind,temperature,visibility,humidity,pressure,holiday,workday,which day,fuel price,policy,economic,congestion
20140315,晴,148,3,12,6.2,28,1023.3hPa,否,否,六,7.76,否,否,是
20140316,晴,145,3,11,5.6,32,1025.2hPa,否,否,日,7.76,否,否,否
20140317,多云,87,4,11,9.5,33,1024.3hPa,否,是,一,7.76,否,否,是
20140318,晴,72,3,11,12.3,28,1023.4hPa,否,是,二,7.76,否,否,否
20140319,阴,44,4,13.5,11.1,36,1025.9hPa,否,是,三,7.76,否,否,否
20140320,晴,57,3,10.5,25.6,17,1023.5hPa,否,是,四,7.76,否,否,否
20140321,晴,82,3,12.5,16,20,1026.4hPa,否,是,五,7.76,否,否,否
20140322,多云,177,3,14.5,18.6,23,1026.4hPa,否,否,六,7.76,否,否,否
20140323,晴,270,3,13,3.6,37,1022.4hPa,否,否,日,7.76,否,否,否
20140324,晴,250,3,15,2,51,1029.3hPa,否,是,一,7.76,否,否,是
20140325,晴,319,3,16,2.2,49,1030hPa,否,是,二,7.76,否,否,否
20140326,晴,299,3,16,1.3,64,1022.3hPa,否,是,三,7.76,否,否,否
20140327,多云,168,3,17,2.6,65,1024.3hPa,否,是,四,7.66,否,否,否
20140328,多云,63,3,16,3.9,59,1023.6hPa,否,是,五,7.66,否,否,是
20140329,晴,64,3,15,16.4,36,1028.9hPa,否,否,六,7.66,否,否,否
20140330,阴,176,3,17,16.1,31,1028.6hPa,否,否,日,7.66,否,否,否
20140331,阴,137,3,14.5,2.8,55,1025.6hPa,否,否,一,7.66,否,否,否
20140401,晴,130,3,17,5.1,56,1024.5hPa,否,是,二,7.66,否,否,否
20140402,多云,65,4,16,5.4,47,1023.9hPa,否,是,三,7.66,否,否,否
20140403,晴,91,3,13.5,17.4,25,1027.7hPa,否,是,四,7.66,否,否,否
20140404,晴,65,3,16,14.5,27,1031.9hPa,否,是,五,7.66,否,否,是
20140405,晴,96,3,13.5,17.8,26,1019.1hPa,是,否,六,7.66,否,否,否
20140406,晴,128,3,17.5,10.4,28,1025.5hPa,是,否,日,7.66,否,否,是
20140407,晴,224,3,18.5,5.5,39,1028.3hPa,是,是,一,7.66,否,否,否
20140408,晴,159,3,18.5,3.6,44,1023.8hPa,否,是,二,7.66,否,否,否
20140409,晴,251,4,20,5.7,38,1023.5hPa,否,是,三,7.66,否,否,是
20140410,多云,81,3,14.5,6.6,34,1025.4hPa,否,是,四,7.66,否,否,否
20140411,阴,131,3,14.5,11.5,34,1025.3hPa,否,是,五,7.66,是,否,否
20140412,晴,207,3,15.5,6.3,38,1027.4hPa,否,否,六,7.66,否,否,否
20140413,晴,279,3,17,2.9,50,1028.6hPa,否,否,日,7.66,否,否,否
20140414,多云,120,4,19.5,2.9,58,1027.4hPa,否,是,一,7.66,否,否,否
20140415,多云,82,3,18,9.8,44,1027.9hPa,否,是,二,7.66,否,否,否
20140416,多云,120,3,16.5,11.3,28,1023.3hPa,否,是,三,7.66,否,否,否
20140417,阴,183,3,14,3.5,67,1025.6hPa,否,是,四,7.66,否,否,否
20140418,多云,83,3,16,3.3,66,1026.3hPa,否,是,五,7.66,否,否,否
20140419,多云,81,3,12,8.6,55,1026.1hPa,否,否,六,7.66,否,否,否
20140420,晴,67,3,16,10.9,49,1029.2hPa,否,否,日,7.66,否,否,否
20140421,晴,86,3,17.5,15.8,37,1027.2hPa,否,是,一,7.66,否,否,否
20140422,晴,151,3,19.5,8.8,42,1029.7hPa,否,是,二,7.66,否,否,是
20140423,晴,151,3,21.5,4.4,59,1021.4hPa,否,是,三,7.66,否,否,否
20140424,多云,171,3,19.5,4.4,57,1018.6hPa,否,是,四,7.79,否,否,否
20140425,多云,66,3,18.5,5.1,52,1019.3hPa,否,是,五,7.79,否,否,否
20140426,多云,73,3,16,14.5,61,1021hPa,否,否,六,7.79,否,否,否
20140427,多云,84,3,18.5,13.1,51,1021.3hPa,否,否,日,7.79,否,否,否
20140428,晴,118,3,18,8.9,43,1020.6hPa,否,是,一,7.79,否,否,否
20140429,多云,136,3,20.5,7.1,42,1028.4hPa,否,是,二,7.79,否,否,是
20140430,晴,159,3,22.5,7.8,49,1027.3hPa,否,是,三,7.79,否,否,是
20140501,多云,48,4,20.5,6,56,1023.6hPa,是,是,四,7.79,否,否,否
20140502,晴,89,3,17.5,24.1,29,1018.6hPa,是,是,五,7.79,否,否,是
20140503,晴,55,5,17,11.9,31,1022.9hPa,是,否,六,7.79,否,否,否
20140504,晴,51,3,13,21.6,18,1023.3hPa,否,否,日,7.79,否,否,否
20140505,多云,99,3,14.5,22.4,23,1025.1hPa,否,是,一,7.79,否,否,否
20140506,多云,85,3,15.5,8.4,43,1025hPa,否,是,二,7.79,否,否,否
20140507,多云,99,3,18.5,14.3,39,1025.4hPa,否,是,三,7.79,否,否,否
20140508,多云,83,3,18.5,8.4,51,1031.4hPa,否,是,四,7.79,否,否,否
20140509,阴,69,3,17.5,10,46,1029.8hPa,否,是,五,7.74,否,否,否
20140510,阴,46,3,15,13.1,50,1031hPa,否,否,六,7.74,否,否,否
20140511,阴,77,3,11.5,11.4,86,1021.8hPa,否,否,日,7.74,否,否,否
20140512,晴,87,3,11.5,18,48,1023.8hPa,否,是,一,7.74,否,否,否
20140513,晴,56,4,24,14.3,33,1025.3hPa,否,是,二,7.74,否,否,否
20140514,多云,115,3,17,25,22,1026.2hPa,否,是,三,7.74,否,否,是
20140515,晴,86,3,22,12,33,1022.5hPa,否,是,四,7.74,否,否,是
20140516,晴,122,3,21.5,18.6,29,1019.8hPa,否,是,五,7.74,否,否,是
20140517,晴,171,3,22,14.5,34,1023.7hPa,否,否,六,7.74,否,否,否
20140518,晴,145,3,24.5,8.5,42,1025.1hPa,否,否,日,7.74,否,否,否
20140519,多云,105,3,24,6.2,54,1026.8hPa,否,是,一,7.74,否,否,否
20140520,晴,169,3,24.5,18.6,42,1017.2hPa,否,是,二,7.74,否,否,否
20140521,晴,180,3,25,6.5,49,1029.2hPa,否,是,三,7.74,否,否,否
20140522,晴,140,3,28.5,7.1,48,1019.3hPa,否,是,四,7.74,否,否,否
20140523,晴,101,3,26.5,9.8,39,1024.1hPa,否,是,五,7.8,否,否,否
20140524,阴,88,3,22,3.3,84,1020.9hPa,否,否,六,7.8,否,否,否
20140525,晴,76,4,24,12.9,46,1024.6hPa,否,否,日,7.8,否,否,否
20140526,晴,97,4,27,19.9,26,1019.5hPa,否,是,一,7.8,否,否,否
20140527,多云,115,5,21,16,22,1024.6hPa,否,是,二,7.8,否,否,否
20140528,晴,119,3,29.5,19.4,26,1030hPa,否,是,三,7.8,否,否,否
20140529,晴,205,3,30.5,17.1,26,1027.4hPa,否,是,四,7.8,否,否,否
20140530,晴,195,3,29.5,10.1,37,1027.4hPa,否,是,五,7.8,否,否,否
20140531,多云,164,3,29,7.1,49,1019hPa,是,否,六,7.8,否,否,否
20140601,多云,93,3,24,13.4,57,1020.3hPa,是,否,日,7.8,否,否,否
20140602,多云,117,3,27,23.9,52,1022.5hPa,是,是,一,7.8,否,否,否
20140603,晴,123,3,26,17.5,47,1030.2hPa,否,是,二,7.8,否,否,是
20140604,多云,143,3,26,12.6,49,1026.3hPa,否,是,三,7.8,否,否,是
20140605,晴,67,3,28,12.1,47,1015.9hPa,否,是,四,7.8,否,否,是
20140606,阴,50,3,22.5,13.8,75,1026.6hPa,否,是,五,7.8,否,否,是
20140607,晴,63,3,24,24,49,1030.1hPa,否,否,六,7.8,否,否,否
20140608,多云,82,3,23.5,15.4,57,1023.2hPa,否,否,日,7.8,否,否,否
20140609,晴,89,3,24,14.9,54,1021.9hPa,否,是,一,7.8,否,否,否
20140610,多云,90,3,23,5.5,72,1020.6hPa,否,是,二,7.8,否,否,否
20140611,多云,71,0,23.5,20,56.5,1015.8,否,是,三,7.8,否,否,否
20140612,晴,86,0,27.5,20.7,44.125,1022.4,否,是,四,7.8,否,否,否
20140613,多云,117,0,26.5,16.2,57.75,1017.5,否,是,五,7.8,否,否,否
20140614,晴,159,0,27.5,13.1,59.875,1022.3,否,否,六,7.8,否,否,否
20140615,多云,176,0,28.5,4.8,62.25,1021.6,否,否,日,7.8,否,否,否
20140616,大雨,165,0,25,3.7,65.625,1019.8,否,是,一,7.8,否,否,否
20140617,多云,116,0,24,4,77.75,1016.2,否,是,二,7.8,否,否,否
20140618,晴,115,0,25,10.3,68.375,1013.7,否,是,三,7.8,否,否,否
20140619,多云,158,0,23.5,3.9,76.125,1020.2,否,是,四,7.8,否,否,否
20140620,多云,86,0,23.5,14.7,71.125,1023.1,否,是,五,7.8,否,否,否
20140621,多云,95,0,23,8.1,71.875,1018.1,否,否,六,7.8,否,否,否
20140622,多云,89,0,26,10.3,72.375,1017.9,否,否,日,7.8,否,否,否
20140623,晴,111,0,27,21.1,54.875,1019.5,否,是,一,7.8,否,否,否
20140624,晴,158,0,24.5,15.3,50.625,1025.3,否,是,二,7.8,否,否,否
20140625,阴,134,0,27,5.9,72.375,1012.4,否,是,三,7.8,否,否,否
20140626,晴,167,0,24.5,5.7,69.125,1027.3,否,是,四,7.8,否,否,否
20140627,晴,74,0,28,25.4,37.5,1018.3,否,是,五,7.8,否,否,否
20140628,晴,67,0,29.5,23.4,36.625,1022.2,否,否,六,7.8,否,否,否
20140629,多云,154,0,29,14.3,48.125,1023.7,否,否,日,7.8,否,否,否
20140630,多云,179,0,28.5,12.3,45.5,1021.6,否,是,一,7.8,否,否,否
20130701,霾,72,3,23.5,2,73,1028hPa,否,是,一,7.79,否,否,否
20130702,晴,33,3,29,30,81,1024.5hPa,否,是,二,7.79,否,否,否
20130703,晴,37,3,30,25,93,1026.4hPa,否,是,三,7.79,否,否,否
20130704,晴,62,3,29,30,105,1027.5hPa,否,是,四,7.79,否,否,否
20130705,晴,117,3,30,30,31,1027.6hPa,否,是,五,7.79,否,否,否
20130706,晴,101,3,30,20,87,1024.8hPa,否,否,六,7.72,否,否,否
20130707,多云,193,3,28,12,36,1024.8hPa,否,否,日,7.72,否,否,否
20130708,阴,39,3,26,7,49,1025.7hPa,否,是,一,7.72,否,否,否
20130709,阴,58,3,25,1.5,76,1027.5hPa,否,是,二,7.72,是,否,否
20130710,阴,60,3,24,8,62,1027.6hPa,否,是,三,7.72,否,否,否
20130711,阴,117,3,25,12,33,1024.5hPa,否,是,四,7.72,否,否,否
20130712,晴,139,3,27,15,33,1024.5hPa,否,是,五,7.72,否,否,否
20130713,阴,136,3,28,12,26,1025.7hPa,否,否,六,7.72,否,否,否
20130714,阴,82,3,26,3,54,1025.1hPa,否,否,日,7.72,否,否,否
20130715,阴,68,3,24,30,66,1027.2hPa,否,是,一,7.72,否,否,否
20130716,晴,41,4,28,18,85,1022.3hPa,否,是,二,7.72,否,否,否
20130717,晴,54,3,28,20,96,1022.7hPa,否,是,三,7.72,否,否,否
20130718,阴,77,3,25,6,28,1020.3hPa,否,是,四,7.72,否,否,是
20130719,晴,166,3,27,4,53,1020.3hPa,否,是,五,7.72,否,否,否
20130720,晴,254,3,27,12,63,1021.5hPa,否,否,六,7.89,否,否,否
20130721,多云,235,3,28,15,66,1022hPa,否,否,日,7.89,否,否,否
20130722,多云,300,3,27,8,32,1021.8hPa,否,是,一,7.89,否,否,否
20130723,晴,281,3,27,30,35,1020.9hPa,否,是,二,7.89,否,否,否
20130724,晴,158,3,31,25,28,1025.4hPa,否,是,三,7.89,否,否,否
20130725,晴,59,3,29,25,34,1024.6hPa,否,是,四,7.89,否,否,否
20130726,阴,60,3,26,20,27,1023.7hPa,否,是,五,7.89,否,否,否
20130727,阵雨,165,3,25,5,55,1024.8hPa,否,否,六,7.89,否,否,否
20130728,晴,129,3,31,25,43,1024.8hPa,否,否,日,7.89,否,否,是
20130729,阴,122,3,28,8,49,1022.3hPa,否,是,一,7.89,否,否,否
20130730,晴,61,3,30,12,55,1021.8hPa,否,是,二,7.89,否,否,否
20130731,多云,86,3,28,25,28,1023hPa,否,是,三,7.89,否,否,否
20130801,阴,61,3,25,8,50,1028.9hPa,否,是,四,7.89,否,否,否
20130802,多云,90,3,17,6,46,1028.5hPa,否,是,五,7.89,否,否,否
20130803,晴,120,3,28,25,34,1028.1hPa,否,否,六,7.89,否,否,否
20130804,晴,211,3,29,6,27,1028.9hPa,否,否,日,7.89,否,否,否
20130805,晴,149,3,29,12,31,1028.7hPa,否,是,一,7.89,否,否,否
20130806,多云,236,3,28,5,49,1026.6hPa,否,是,二,7.89,否,否,否
20130807,阴,76,3,27,18,45,1026.4hPa,否,是,三,7.89,否,否,否
20130808,晴,123,3,29,30,51,1028.2hPa,否,是,四,7.89,否,否,否
20130809,晴,195,3,30,25,38,1023.4hPa,否,是,五,7.89,否,否,是
20130810,晴,262,3,31,7,42,1022.1hPa,否,否,六,7.89,否,否,否
20130811,阴,113,3,32,6,46,1020.8hPa,否,否,日,7.89,否,否,否
20130812,多云,77,3,27,12,99,1021.2hPa,否,是,一,7.89,否,否,否
20130813,多云,113,3,29,11,96,1021.7hPa,否,是,二,7.89,否,否,是
20130814,晴,172,3,29,12,33,1021.1hPa,否,是,三,7.89,否,否,否
20130815,多云,78,3,30,8,32,1020.6hPa,否,是,四,7.89,否,否,否
20130816,阴,76,3,30,3,25,1020.3hPa,否,是,五,7.89,否,否,否
20130817,晴,63,3,30,12,51,1028.9hPa,否,否,六,7.89,否,否,否
20130818,晴,81,3,30,30,20,1028.7hPa,否,否,日,7.89,否,否,否
20130819,晴,142,3,28,30,50,1026.6hPa,否,是,一,7.89,否,否,否
20130820,多云,142,3,27,28,28,1026.4hPa,否,是,二,7.89,否,否,否
20130821,阴,161,3,26,12,58,1028.2hPa,否,是,三,7.89,否,否,否
20130822,阴,62,3,26,15,70,1027.3hPa,否,是,四,7.89,否,否,否
20130823,多云,69,3,27,8,36,1026.4hPa,否,是,五,7.89,否,否,否
20130824,多云,79,3,29,8,23,1026.2hPa,否,否,六,7.89,否,否,否
20130825,晴,111,3,18,30,24,1027.2hPa,否,否,日,7.89,否,否,否
20130826,晴,128,3,29,11,46,1026.6hPa,否,是,一,7.89,否,否,否
20130827,阴,149,3,24,20,79,1024.1hPa,否,是,二,7.89,否,否,否
20130828,阴,45,3,22,20,41,1024.5hPa,否,是,三,7.89,否,否,否
20130829,晴,84,5,24,12,53,1025.2hPa,否,是,四,7.89,否,否,否
20130830,晴,52,3,21,15,28,1024.7hPa,否,是,五,7.89,否,否,否
20130831,晴,48,3,23,6,61,1023.6hPa,否,否,六,8.1,否,否,否
20130901,晴,93,3,24,30,93,1022.7hPa,否,否,日,8.1,否,否,否
20130902,晴,80,3,22,30,24,1028.9hPa,否,是,一,8.1,否,否,否
20130903,多云,93,3,23,25,64,1028.8hPa,否,是,二,8.1,否,否,否
20130904,阴,78,3,20,23,55,1028hPa,否,是,三,8.1,否,否,否
20130905,晴,65,3,22,13,14,1029.1hPa,否,是,四,8.1,否,否,否
20130906,多云,43,3,22,9,23,1028.9hPa,否,是,五,8.1,否,否,否
20130907,晴,72,3,24,4.9,16,1026.5hPa,否,否,六,8.1,否,否,是
20130908,阴,82,3,22,30,33,1025.9hPa,否,否,日,8.1,否,否,否
20130909,多云,53,3,22,9,28,1026.7hPa,否,是,一,8.1,否,否,否
20130910,晴,108,3,24,11,40,1024.6hPa,否,是,二,8.1,否,否,否
20130911,晴,81,3,23,4.1,33,1023.4hPa,否,是,三,8.1,否,否,否
20130912,多云,115,3,23,3.1,26,1022.1hPa,否,是,四,8.1,否,否,否
20130913,阴,161,3,21,3.3,87,1022.7hPa,否,是,五,8.1,否,否,否
20130914,晴,136,4,23,17,84,1023.3hPa,否,否,六,8.26,否,否,否
20130915,晴,99,3,23,11,79,1023.1hPa,否,否,日,8.26,否,否,否
20130916,多云,159,3,22,6,31,1022.9hPa,否,是,一,8.26,否,否,否
20130917,阴,169,3,21,2.4,60,1022.8hPa,否,是,二,8.26,否,否,否
20130918,阴,132,3,22,30,66,1028.6hPa,否,是,三,8.26,否,否,否
20130919,阴,95,3,26,23,52,1028.6hPa,是,是,四,8.26,否,否,是
20130920,晴,83,3,23,3.6,57,1027.8hPa,是,是,五,8.26,否,否,是
20130921,晴,71,3,23,18,37,1028.9hPa,是,否,六,8.26,否,否,否
20130922,阴,91,3,21,18,43,1028.7hPa,否,否,日,8.26,否,否,否
20130923,阴,108,5,17,9,35,1026.2hPa,否,是,一,8.26,否,否,否
20130924,多云,112,4,17,15,34,1025.8hPa,否,是,二,8.26,否,否,否
20130925,晴,193,3,18,12,46,1026.5hPa,否,是,三,8.26,否,否,否
20130926,晴,183,3,19,30,28,1022.3hPa,否,是,四,8.26,否,否,否
20130927,晴,154,3,19,30,41,1021.7hPa,否,是,五,8.26,否,否,否
20130928,多云,87,3,18,20,60,1021.1hPa,否,否,六,8.26,否,否,否
20130929,阴,110,3,18,27,58,1022.5hPa,否,否,日,8.26,否,否,否
20130930,阴,116,3,19,4.3,35,1024hPa,否,是,一,7.81,否,否,是
20131001,小雨,134,4,16,3.5,18,1024.4hPa,是,是,二,7.81,否,否,是
20131002,晴,63,3,17,4.6,59,1024.8hPa,是,是,三,7.81,否,否,是
20131003,晴,47,3,17,13,69,1024.9hPa,是,是,四,7.81,否,否,是
20131004,晴,59,3,17.5,14,73,1027.1hPa,是,是,五,7.81,否,否,是
20131005,晴,77,3,17.5,5,81,1026.9hPa,是,否,六,7.81,否,否,否
20131006,阴,84,3,17.5,4.7,93,1026.1hPa,是,否,日,7.81,否,否,否
20131007,晴,85,3,18.5,0.7,105,1027.2hPa,是,是,一,7.81,否,否,是
20131008,晴,72,3,17.5,3.4,31,1027.1hPa,否,是,二,7.81,否,否,否
20131009,晴,33,3,19,16,87,1024.3hPa,否,是,三,7.81,否,否,否
20131010,多云,37,6,16,4.8,36,1023.8hPa,否,是,四,7.81,否,否,否
20131011,晴,62,3,17,2.5,49,1024.5hPa,否,是,五,7.81,否,否,否
20131012,多云,117,3,18,13,76,1021.8hPa,否,否,六,7.81,否,否,否
20131013,阴,101,3,14.5,12,62,1021.1hPa,否,否,日,7.81,否,否,否
20131014,阴,193,5,9.5,13,33,1020.4hPa,否,是,一,7.81,否,否,否
20131015,晴,39,3,9.5,19,33,1021.6hPa,否,是,二,7.81,否,否,否
20131016,晴,58,3,12.5,30,26,1022.7hPa,否,是,三,7.81,否,否,否
20131017,晴,60,3,13,24,54,1022.9hPa,否,是,四,7.81,否,否,否
20131018,多云,117,4,13,9,66,1023.1hPa,否,是,五,7.81,否,是,是
20131019,多云,139,4,11,4.3,85,1023.4hPa,否,否,六,7.81,否,否,否
20131020,晴,136,3,14,4.7,96,1027.2hPa,否,否,日,7.81,否,否,否
20131021,多云,82,3,12.5,4.2,28,1027.1hPa,否,是,一,7.81,否,否,否
20131022,阵雨,68,4,10.5,29,53,1024.3hPa,否,是,二,7.81,否,否,否
20131023,晴,41,4,9.5,18,63,1023.8hPa,否,是,三,7.81,否,是,否
20131024,晴,54,4,10,14,66,1024.5hPa,否,是,四,7.81,否,否,否
20131025,晴,77,4,11,3.9,32,1024.6hPa,否,是,五,7.81,否,否,否
20131026,晴,166,3,12,7,35,1024.4hPa,否,否,六,7.81,否,否,否
20131027,晴,254,3,12.5,7,28,1024.1hPa,否,否,日,7.81,否,否,否
20131028,多云,235,3,11.5,26,34,1024.8hPa,否,是,一,7.81,否,否,否
20131029,晴,300,3,9,30,27,1025.6hPa,否,是,二,7.81,否,否,否
20131030,晴,281,3,7.5,4,55,1025.3hPa,否,是,三,7.81,否,否,是
